frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 135.997171 75.000388 540.000953 74.999843 539.998996 372.999815 136.002494 373.000523
frame00002.jpg 141.354852 76.982661 542.205654 78.295570 542.718938 373.833622 138.845058 372.485037
frame00003.jpg 145.301607 76.968989 545.619448 79.590046 544.386515 375.170960 142.544013 372.461992
frame00004.jpg 149.726610 79.272320 547.637483 82.892894 545.989431 377.889503 145.287333 374.213314
frame00005.jpg 152.696856 81.534873 549.964338 86.335749 547.110386 380.365128 148.627797 375.939251
frame00006.jpg 156.804255 83.958705 552.641081 89.299695 550.199128 382.157293 152.926567 376.621589
frame00007.jpg 161.972434 86.586047 555.238242 92.105721 554.343092 382.872495 157.350105 376.981307
frame00008.jpg 166.756290 86.839478 560.418351 91.723197 558.045101 382.570207 163.713264 376.390426
frame00009.jpg 171.565589 86.343567 564.662512 91.377586 561.496894 381.538449 168.457760 375.148590
frame00010.jpg 175.632892 85.889696 568.190281 91.163679 564.205852 380.813382 172.128900 374.291456
frame00011.jpg 178.654134 85.889802 570.158581 91.254074 565.657203 380.057131 174.487724 373.767060
frame00012.jpg 180.745284 85.454964 571.901160 90.594362 567.326761 379.255677 177.421092 373.049699
frame00013.jpg 184.098940 86.432191 573.281352 91.929346 570.084931 379.149803 180.005442 372.931228
frame00014.jpg 187.215702 86.860446 576.067865 91.756842 572.333498 378.936670 184.056268 372.744637
frame00015.jpg 190.458165 87.669565 577.777874 92.572408 574.397109 378.410064 186.918121 372.733360
frame00016.jpg 192.860925 88.067485 579.729666 92.310300 575.979893 377.797714 190.160208 372.513499
frame00017.jpg 194.782910 87.693520 581.096835 92.008458 576.830237 376.744378 192.637720 371.987461
frame00018.jpg 197.015155 88.026765 581.702109 92.279040 577.979796 375.330919 194.700271 370.906284
frame00019.jpg 199.243093 87.421246 582.167865 91.571803 578.860377 372.795029 196.077277 368.592901
frame00020.jpg 200.304779 86.747910 581.873735 90.530373 578.771056 370.823315 196.509910 367.478563
frame00021.jpg 200.257788 84.685799 581.519768 88.494756 577.843153 367.841564 197.251055 365.031819
frame00022.jpg 200.648337 83.576985 580.364614 87.149549 576.777747 366.378585 197.020916 364.150983
frame00023.jpg 199.539730 82.455589 579.686844 86.306186 574.487166 365.775162 197.603144 363.874206
frame00024.jpg 199.098565 82.990748 576.908416 88.321803 572.138625 365.438595 196.036413 363.785213
frame00025.jpg 197.576494 82.455162 575.249257 87.771272 569.177093 365.238102 195.466942 363.667779
frame00026.jpg 197.035004 84.052528 571.414334 90.393752 566.671220 365.215433 192.841531 363.878767
frame00027.jpg 195.191248 83.490254 569.568462 90.710046 563.792937 364.948947 192.566665 363.653229
frame00028.jpg 194.237615 82.985702 567.674336 91.086634 561.963102 363.567894 192.066556 362.688936
frame00029.jpg 194.251649 82.215376 566.493172 90.159387 560.829719 362.462788 192.231161 361.671023
frame00030.jpg 194.863229 82.798489 565.502492 91.018417 560.919994 361.528741 193.132161 361.073985
frame00031.jpg 196.466112 82.355619 565.518912 90.518498 561.744206 359.265246 195.025283 359.248798
frame00032.jpg 199.036829 81.628961 566.623577 89.259981 563.145279 357.451776 197.306152 357.488141
