frame ulx uly urx ury lrx lry llx lly
frame00001.jpg 291.000342 150.998769 565.001128 150.001505 564.999179 445.000028 291.999613 443.999975
frame00002.jpg 291.670827 151.341468 565.807041 149.662556 565.961201 445.083598 293.371997 443.594416
frame00003.jpg 292.924921 150.352540 567.492290 149.655772 566.453779 444.732948 293.676673 442.714298
frame00004.jpg 292.265240 149.448260 566.701298 148.758554 565.333901 444.271290 292.218330 442.490204
frame00005.jpg 290.234591 149.797462 564.863673 148.579511 564.337115 444.274349 291.109049 443.546116
frame00006.jpg 289.820310 150.177739 564.144511 149.137380 564.259345 444.577662 290.818371 443.877009
frame00007.jpg 290.754085 150.995442 564.504659 149.416596 565.015568 444.763124 292.578070 443.596479
frame00008.jpg 292.315732 150.881278 566.012382 149.571062 565.790837 445.684524 293.119416 443.949255
frame00009.jpg 291.791532 151.702042 565.532643 151.185310 565.475158 446.073368 292.087292 445.292473
frame00010.jpg 290.353634 152.834269 564.612475 151.623438 565.070020 445.928758 291.446601 445.844531
frame00011.jpg 290.910374 152.574408 564.852489 151.270100 565.131314 445.934457 292.186605 444.992488
frame00012.jpg 291.477215 151.821885 565.385715 150.840939 564.953593 445.997892 292.025063 444.745470
frame00013.jpg 291.193085 152.241274 564.689921 151.319760 564.956783 446.180058 291.740300 444.600171
frame00014.jpg 291.556185 151.675377 564.973748 150.128568 565.831172 445.717202 292.674683 443.655233
frame00015.jpg 292.405863 151.817360 566.101551 150.291437 566.692568 446.930613 292.812402 443.855654
frame00016.jpg 292.867542 152.330119 566.443121 150.438537 566.640518 447.378087 292.760400 443.773569
frame00017.jpg 292.531026 152.251046 565.752684 150.266348 566.846494 447.835180 293.171947 444.745526
frame00018.jpg 292.801013 153.691319 566.154988 151.417947 566.974847 449.379109 294.485752 445.648337
frame00019.jpg 294.907273 153.158877 568.512095 151.714954 569.085359 448.648413 297.630596 444.171419
frame00020.jpg 298.659736 152.365788 572.187719 151.300964 570.540683 449.271542 298.498451 441.756281
frame00021.jpg 299.834287 151.995971 572.856933 151.084879 570.571302 449.363104 298.744982 441.253842
frame00022.jpg 299.739478 152.730893 572.784938 151.114687 570.409813 449.517284 299.181088 441.448781
